Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompanyLoyaltyRatio,PositionStagnationRatio,ManagementStabilityRatio,JobLevelSalaryRatio,DepartmentSalaryRatio,EducationReturnRatio,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
41,1,1102,1,2,2,1,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,0.75,0.0,0.8333333333333334,1.0891854104667595,0.861165587502509,0.9624765221986954,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,0,279,8,1,3,0,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,1.0,0.1,0.7,0.9323412574160648,0.816716045832171,0.909482457448506,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37,1,1373,2,2,4,0,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0.0,1.0,1.0,0.749933093018876,0.3327361668205141,0.3356542518597152,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
33,0,1392,3,4,4,1,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,1.0,0.375,0.0,1.0438063959769903,0.4631241671200361,0.425765345148156,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27,0,591,2,1,1,0,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0.3333333333333333,1.0,1.0,1.24438658688491,0.5521191514514558,0.6148314156786391,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
32,0,1005,2,2,4,0,79,3,1,4,3068,11864,1,0,13,3,3,0,8,2,2,7,7,3,6,0.875,0.4285714285714285,0.8571428571428571,1.100858722192302,0.4884375884236063,0.4927211697156011,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
59,0,1324,3,3,3,1,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0.0833333333333333,0.0,0.0,0.9580484968231574,0.425074433210896,0.4096811185997384,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
30,0,1358,24,1,4,0,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,1.0,0.0,0.0,0.9663013490429824,0.4287361230849973,0.47743396840328,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
38,0,216,23,3,4,0,44,2,3,3,9526,8787,1,0,21,4,2,0,10,2,3,9,7,1,8,0.9,0.1111111111111111,0.8888888888888888,0.9703326058179736,1.5165764235082375,1.4616563055359957,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,0,1299,27,3,3,0,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0.4117647058823529,1.0,1.0,0.9517877514791288,0.8337508639421207,0.8035580592160413,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
