Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompanyLoyaltyRatio,PositionStagnationRatio,ManagementStabilityRatio,JobLevelSalaryRatio,DepartmentSalaryRatio,EducationReturnRatio
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.75,0.0,0.8333333333333334,1.0891854104667595,0.861165587502509,0.9624765221986954
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,No,23,4,4,1,10,3,3,10,7,1,7,1.0,0.1,0.7,0.9323412574160648,0.816716045832171,0.909482457448506
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,1.0,1.0,0.749933093018876,0.3327361668205141,0.3356542518597152
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0,1.0,0.375,0.0,1.0438063959769905,0.4631241671200361,0.425765345148156
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,No,12,3,4,1,6,3,3,2,2,2,2,0.3333333333333333,1.0,1.0,1.24438658688491,0.5521191514514558,0.6148314156786391
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,1,No,13,3,3,0,8,2,2,7,7,3,6,0.875,0.42857142857142855,0.8571428571428571,1.100858722192302,0.4884375884236063,0.4927211697156011
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.08333333333333333,0.0,0.0,0.9580484968231574,0.425074433210896,0.40968111859973844
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,No,22,4,2,1,1,2,3,1,0,0,0,1.0,0.0,0.0,0.9663013490429824,0.4287361230849973,0.47743396840328
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,1,No,21,4,2,0,10,2,3,9,7,1,8,0.9,0.1111111111111111,0.8888888888888888,0.9703326058179735,1.5165764235082377,1.4616563055359957
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,No,13,3,2,2,17,3,2,7,7,7,7,0.4117647058823529,1.0,1.0,0.9517877514791289,0.8337508639421207,0.8035580592160413
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,1,No,13,3,3,1,6,5,3,5,4,0,3,0.8333333333333334,0.0,0.6,0.8704964993606665,0.38622867976390773,0.3722420950273279
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,1,Yes,12,3,4,0,10,3,3,9,5,0,8,0.9,0.0,0.8888888888888888,0.7620481271628771,0.6675419844394332,0.673396305286022
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,1.0,0.8,0.6,1.0445240353004537,0.4634425749351753,0.516082540669123
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,1,No,11,3,3,1,3,2,3,2,2,1,2,0.6666666666666666,0.5,1.0,0.9548191198675737,0.42364159804276935,0.42735692066923553
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.6666666666666666,0.0,0.75,0.7276862739915217,0.3228655245511974,0.3111735237903631
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,1.0,0.8,0.8,1.0165777247599597,1.5888549975448472,1.4606868836640072
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,1,Yes,12,3,4,2,7,5,2,6,2,0,5,0.8571428571428571,0.0,0.8333333333333334,1.1833872443905518,0.5250544871646198,0.5296591974322205
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,1.0,0.0,0.0,1.05313570718201,0.4672634687168463,0.4713613536881647
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,0.8064516129032258,0.12,0.28,0.9950474655911734,2.2167865039881876,2.2579174904092825
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.5,0.3333333333333333,0.6666666666666666,1.4151847458691134,0.6279002114545968,0.605161922006505
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,1,No,18,3,4,1,5,5,2,4,2,1,3,0.8,0.25,0.75,0.7289709129621512,0.6385668732617618,0.6441670833537405
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,0.5,0.0,0.6,1.2224985875192873,0.4895696907427079,0.4986533279201676
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994,21293,1,No,11,3,3,0,13,4,3,12,6,2,11,0.9230769230769231,0.16666666666666666,0.9166666666666666,1.2217267766303563,1.9094916673900697,1.7554587657982066
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,1.0,1.0,1.0,0.4420658232532322,0.19613921412577673,0.19785934846467423
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,0.5,0.25,0.75,1.062106198725298,0.47124356640608694,0.5247696050775005
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,0.5384615384615384,0.2857142857142857,0.5714285714285714,0.9949027212672062,3.0398394111344,2.9297570331623244
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1.0,0.6,0.7,1.4062142543258254,0.6239201137653563,0.694787865641461
42,No,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,1,No,11,3,4,1,10,2,3,9,7,4,2,0.9,0.4444444444444444,0.2222222222222222,1.2403955325272207,0.9807200291514474,0.9989166313634117
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,0.9166666666666666,0.22727272727272727,0.7727272727272727,1.0438766055450968,1.6315216447735064,1.4999117418625998
46,No,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,0.09090909090909091,1.0,0.5,0.987243210424728,2.7225937571183114,2.773109657793782
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,0.14285714285714285,0.0,0.0,0.895613875681873,0.3973729532937814,0.3829827985112162
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.4444444444444444,0.25,0.75,1.1749680758664443,1.029253262437619,0.9462265233354515
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,1.0,0.1,0.8,0.7915561737797323,0.35120382009859047,0.35428386583853194
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,0.05263157894736842,0.0,0.0,0.3791157627621659,0.29974827557654493,0.32007296381987055
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.3333333333333333,1.0,0.0,0.8227734843503745,0.36505456005714776,0.35183475840794015
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,0.8333333333333334,0.2,0.8,0.9490780052798694,0.42109433552165537,0.42478731874112285
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1.0,0.0,0.6666666666666666,0.9627131524256671,0.3855343352693529,0.4308901233203904
35,No,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,1.0,1.0,1.0,0.7226627987272805,0.2894022181261561,0.30902538309358546
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.16666666666666666,0.0,0.0,1.2268044234600655,0.5443181599805443,0.500409664854433
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0.5,0.2,0.6,0.9770500194675953,0.7725056229623709,0.8248860275626194
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,1.0,0.0,0.0,0.7000571600381947,0.31060682366833636,0.31333083510923654
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,1.0,0.0,0.0,0.8399968281134874,0.3726963476204897,0.3426320635929299
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1.0,0.0,1.0,0.8227734843503745,0.36505456005714776,0.35183475840794015
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,1.0,0.1111111111111111,0.7777777777777778,0.8888434094444296,1.2538846848901877,1.3389054085772725
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,1.0,0.25,0.5833333333333334,0.7289709129621512,0.6385668732617618,0.6441670833537405
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,0.9565217391304348,0.6818181818181818,0.36363636363636365,1.018402308953993,3.1116403734483002,2.9989578513228046
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,1,No,20,4,3,0,10,2,3,9,5,8,7,0.9,0.8888888888888888,0.7777777777777778,0.830201727851186,0.6563998671302288,0.6685789263103391
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0.125,0.0,0.0,1.0843530177526524,0.4811142086754036,0.48533356417227724
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.6428571428571429,0.0,0.8888888888888888,1.0490202217944495,0.8294089389395098,0.8447980653816282
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,1.0,0.0,1.0,0.814161812468818,0.36123366627547676,0.4022642682165029
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.043478260869565216,0.0,0.0,0.5481167071075493,0.8566762266321465,0.8641892484483864
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1.0,1.0,1.0,1.234698456018159,0.547820645947076,0.5036296159005861
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.4444444444444444,0.25,0.75,0.9912259684107636,0.7837138518669589,0.6588829855509442
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.4,0.5,0.75,1.0067990211951343,1.5735714224181632,1.587371591091591
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.4,0.0,0.0,0.7555053814967995,0.5973411225175922,0.6378443483217651
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,1.0,0.5333333333333333,0.8,1.3708520059939415,2.1425661880719993,2.1613564217837546
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,1.0,0.1111111111111111,0.8888888888888888,0.9237819023895866,1.3031721530219014,1.0956013560618834
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0.5,1.0,1.0,1.4403021221903198,0.6390444849844705,0.587494704511756
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0.7,0.14285714285714285,1.0,1.0750094615235912,0.9416911132743258,0.8657277471816235
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,1.0,0.0,1.0,1.0891854104667595,0.9541090180647563,0.8771439372543481
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,1.0,0.7777777777777778,0.8888888888888888,1.1198999665102907,0.9810144784440228,0.9454887838245649
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,1.0,0.9,0.9,0.4372735020161894,0.38304460161251525,0.29066235116163763
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0.9310344827586207,0.48148148148148145,0.2962962962962963,0.9764573686261362,2.983481227854753,3.0096462583019443
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0.75,0.3333333333333333,0.42857142857142855,0.777916240880943,1.0974005659530555,1.1718107500922106
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,1.0,0.7058823529411765,0.47058823529411764,1.0283936582341235,1.6073226508229235,1.5491163196190858
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0.23809523809523808,0.0,0.4,0.9517677061167663,2.349212860097371,2.264140294403648
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,1.0,0.0,0.5,1.1811473356621842,1.034666195294986,0.997197599168427
