"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_BestOfFamily_1_AutoML_1_20250317_191731",0.026584446501783123,0.9989268882812316,0.999165164785434,0.00530035335689046,0.07649007227179044,0.005850731156143724
"StackedEnsemble_AllModels_1_AutoML_1_20250317_191731",0.026654432698903822,0.9991287470466884,0.9992907433721944,0.004711425206124852,0.07798642052111728,0.0060818817856965425
"GBM_grid_1_AutoML_1_20250317_191731_model_21",0.03940269951295484,0.9988443412259416,0.9990723406905688,0.004711425206124852,0.10449918877442524,0.010920080454512966
"GBM_grid_1_AutoML_1_20250317_191731_model_15",0.041510953133267504,0.9989976429000514,0.9991563575160352,0.004711425206124852,0.107614324077223,0.01158084274659758
"GBM_grid_1_AutoML_1_20250317_191731_model_18",0.04628789615092772,0.9991551066105624,0.9992644295949016,0.005889281507656066,0.11573497676823156,0.0133945848475431
"GBM_grid_1_AutoML_1_20250317_191731_model_8",0.050345838168838496,0.9990427316277308,0.999158024197998,0.005300353356890459,0.11730576272451852,0.01376064196838104
"GBM_grid_1_AutoML_1_20250317_191731_model_10",0.05423935824400881,0.9990670101734044,0.9992215419057084,0.006478209658421673,0.12374019746300456,0.015311636468183358
"GBM_grid_1_AutoML_1_20250317_191731_model_1",0.060773629050058224,0.998726416861242,0.9990048788291906,0.005889281507656066,0.13480018767256732,0.01817109059655937
"GBM_grid_1_AutoML_1_20250317_191731_model_23",0.06994768419156953,0.9986390140968172,0.9989009311592204,0.005300353356890459,0.14313525397021926,0.020487700929119165
"GBM_4_AutoML_1_20250317_191731",0.07194698558804907,0.9987049130065024,0.998899156883011,0.007067137809187279,0.14302192116985998,0.020455269935117645
"GBM_grid_1_AutoML_1_20250317_191731_model_13",0.0721165192072218,0.9982033876201616,0.9984794630415226,0.011189634864546523,0.14402716017344294,0.020743822867626587
"GBM_3_AutoML_1_20250317_191731",0.07286558494753123,0.9985814392599344,0.9988979208475464,0.007067137809187279,0.14400631100039424,0.020737817607942265
"GBM_grid_1_AutoML_1_20250317_191731_model_22",0.07421689227965177,0.998081994891794,0.9985523708588744,0.005889281507656065,0.14558041354858817,0.021193656808977952
"GBM_grid_1_AutoML_1_20250317_191731_model_12",0.07544596606306765,0.9986140418784104,0.9988391193055298,0.006478209658421672,0.14924361823355545,0.02227365758344324
"GBM_5_AutoML_1_20250317_191731",0.07726252425203348,0.9979266121994836,0.9983281475521012,0.006478209658421672,0.149740851656887,0.02242232265492984
"GBM_grid_1_AutoML_1_20250317_191731_model_5",0.07759452274214765,0.9987472270432478,0.9988759649121016,0.006478209658421672,0.15040755743203996,0.0226224333326724
"GBM_2_AutoML_1_20250317_191731",0.08119489821440937,0.9979411793268876,0.998097263332332,0.007067137809187279,0.1516581688243654,0.023000200171159717
"GBM_grid_1_AutoML_1_20250317_191731_model_9",0.08621471018439122,0.9980265010731116,0.998085113626168,0.009422850412249708,0.15464788820924005,0.0239159693275776
"GBM_grid_1_AutoML_1_20250317_191731_model_3",0.09630494751354854,0.9972336331386888,0.9974023069928428,0.01354534746760895,0.16196614276746876,0.026233031402972076
"GBM_grid_1_AutoML_1_20250317_191731_model_4",0.0990329766384858,0.997958521145226,0.998230885692537,0.0088339222614841,0.16878109378890624,0.02848705762057956
"GBM_grid_1_AutoML_1_20250317_191731_model_25",0.10387044800674936,0.9975222009958368,0.9975899399000084,0.011778563015312132,0.17149138123629876,0.029409293838333565
"GBM_grid_1_AutoML_1_20250317_191731_model_2",0.10811864230903868,0.996712684915809,0.9967279569393216,0.014134275618374558,0.17096442866247247,0.029228835867885633
"GBM_grid_1_AutoML_1_20250317_191731_model_17",0.11120949755900313,0.99629023822109,0.995916353386674,0.011778563015312132,0.17210688661353293,0.029620780419803483
"GBM_grid_1_AutoML_1_20250317_191731_model_24",0.11584818310951107,0.9966807759700668,0.9968987982785036,0.01707891637220259,0.17579565779577935,0.030904113299850756
"GBM_grid_1_AutoML_1_20250317_191731_model_20",0.1266730598992743,0.9937111629978316,0.991741065006038,0.01825677267373381,0.18100241181330673,0.03276187308223388
"DeepLearning_grid_1_AutoML_1_20250317_191731_model_8",0.12902251175189264,0.9891814800478912,0.9859589299469048,0.03297997644287397,0.17341081217120194,0.03007130977787588
"GBM_grid_1_AutoML_1_20250317_191731_model_11",0.13181764649205677,0.9947662392255284,0.994380651910801,0.021790341578327443,0.18487438119441707,0.03417853682201863
"DeepLearning_grid_1_AutoML_1_20250317_191731_model_12",0.1349504613800045,0.9883983235317376,0.984894134362867,0.036513545347467605,0.17946114237140312,0.03220630162124902
