"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20250318_160526",0.35226289101534536,0.808817563146185,0.5926335556778614,0.2532587357675697,0.3231469302184336,0.1044239385095972
"StackedEnsemble_BestOfFamily_1_AutoML_1_20250318_160526",0.35975509443313197,0.8031245910221175,0.5940881145088424,0.2714468001570475,0.32500614617167956,0.10562899504936712
"GLM_1_AutoML_1_20250318_160526",0.3629809926935556,0.8082155477031802,0.5759853432667271,0.2775912838633687,0.32740980730145064,0.10719718191717303
"GBM_grid_1_AutoML_1_20250318_160526_model_10",0.38206621857735373,0.7729551105876195,0.5108771107168049,0.3052807224185316,0.34028881636705355,0.11579647854449028
"GBM_grid_1_AutoML_1_20250318_160526_model_4",0.3841107369355426,0.762122104436592,0.5112461057271291,0.27882803297997644,0.340828452294999,0.11616403389380438
"GBM_grid_1_AutoML_1_20250318_160526_model_11",0.3842096368098396,0.7652205208742311,0.5122076729452109,0.31353553199842954,0.3413116880470849,0.1164936683975506
"GBM_3_AutoML_1_20250318_160526",0.3844860945970122,0.7676743881690878,0.5163284696530166,0.30763643502159405,0.3401870614209303,0.1157272367582078
"DeepLearning_grid_3_AutoML_1_20250318_160526_model_14",0.3859659835573641,0.7842363564978406,0.5337063126044885,0.2776698076168041,0.33568544490257307,0.11268471791943845
"GBM_grid_1_AutoML_1_20250318_160526_model_7",0.3860803182793576,0.7737109017144354,0.47951093536558087,0.3031605810757754,0.344583506340835,0.11873779284214428
"GBM_grid_1_AutoML_1_20250318_160526_model_2",0.38788226163239525,0.7594817432273262,0.48712557823161046,0.30585983510011777,0.343673056230652,0.11811116957891686
"GBM_grid_1_AutoML_1_20250318_160526_model_1",0.38805249127695046,0.7700693626488679,0.4938548442461932,0.2887514723203769,0.3442895682030116,0.1185353067734162
"DeepLearning_grid_2_AutoML_1_20250318_160526_model_5",0.3882877871996469,0.7646643109540636,0.5363128807310744,0.260993325480958,0.33612580381659657,0.11298055599135316
"GBM_4_AutoML_1_20250318_160526",0.3888096002856966,0.7630676613008769,0.5028169144659105,0.3039261876717707,0.34236770467487815,0.11721564520434456
"GBM_grid_1_AutoML_1_20250318_160526_model_9",0.39010954698743994,0.7549208218819526,0.484597185566836,0.3012171181782489,0.3448823909847894,0.11894386361138512
"GBM_grid_1_AutoML_1_20250318_160526_model_5",0.3908525386781104,0.7652957728046067,0.48421839668759525,0.28892815076560663,0.3437342051813665,0.11815320381166576
"GBM_grid_1_AutoML_1_20250318_160526_model_3",0.39130685932749903,0.7625310823190682,0.4682476096868398,0.31613663133097764,0.34569762350601363,0.11950684689770556
"GBM_2_AutoML_1_20250318_160526",0.3918616431823976,0.7528792042926319,0.4984056392628098,0.28117393011385944,0.3435152238859207,0.11800270904139425
